date,mslp,tmpf,counts12,counts13,counts23
2024-07-28 23:00:00,1019.7,77.0,10730.0,5770.0,10514.0
2024-07-29 00:00:00,1019.7,75.0,10769.0,5760.0,10514.0
2024-07-29 01:00:00,1019.4,74.0,10615.0,5671.0,10483.0
2024-07-29 02:00:00,1019.2,73.0,10431.0,5550.0,10198.0
2024-07-29 03:00:00,1019.6,73.0,10685.0,5823.0,10526.0
2024-07-29 04:00:00,1019.4,73.0,10668.0,5646.0,10342.0
2024-07-29 05:00:00,1018.8,73.0,10710.0,5726.0,10484.0
2024-07-29 06:00:00,1018.5,73.0,10539.0,5474.0,10200.0
2024-07-29 07:00:00,1018.2,74.0,10621.0,5612.0,10346.0
2024-07-29 08:00:00,1018.0,74.0,10728.0,5620.0,10393.0
2024-07-29 09:00:00,1018.2,73.0,10812.0,5750.0,10452.0
2024-07-29 10:00:00,1018.7,73.0,10729.0,5740.0,10436.0
2024-07-29 11:00:00,1019.0,73.0,10860.0,5783.0,10567.0
2024-07-29 12:00:00,1019.5,74.0,10638.0,5673.0,10484.0
2024-07-29 13:00:00,1019.6,76.0,10601.0,5582.0,10344.0
2024-07-29 14:00:00,1019.4,79.0,10616.0,5596.0,10450.0
2024-07-29 15:00:00,1019.4,81.0,10757.0,5750.0,10530.0
2024-07-29 16:00:00,1018.9,83.0,10680.0,5757.0,10540.0
2024-07-29 17:00:00,1017.7,86.0,10648.0,5680.0,10435.0
2024-07-29 18:00:00,1017.3,81.0,10803.0,5643.0,10458.0
2024-07-29 19:00:00,1016.4,82.0,10797.0,5668.0,10439.0
2024-07-29 20:00:00,1016.1,80.0,10699.0,5565.0,10339.0
2024-07-29 21:00:00,1016.2,79.0,10647.0,5617.0,10312.0
2024-07-29 22:00:00,1016.4,80.0,10443.0,5563.0,10402.0
2024-07-29 23:00:00,1016.1,81.0,10580.0,5601.0,10441.0
2024-07-30 00:00:00,1016.4,73.0,10701.0,5675.0,10582.0
2024-07-30 01:00:00,1016.7,73.0,10467.0,5460.0,10140.0
2024-07-30 02:00:00,1016.8,74.0,10760.0,5712.0,10454.0
2024-07-30 03:00:00,1016.9,72.0,10708.0,5621.0,10330.0
2024-07-30 04:00:00,1017.1,72.0,10591.0,5740.0,10415.0
2024-07-30 05:00:00,1016.2,72.0,10554.0,5495.0,10296.0
2024-07-30 06:00:00,1016.1,72.0,10628.0,5625.0,10382.0
2024-07-30 07:00:00,1015.9,72.0,10716.0,5626.0,10272.0
2024-07-30 08:00:00,1016.2,72.0,10663.0,5579.0,10269.0
2024-07-30 09:00:00,1016.5,73.0,10708.0,5736.0,10488.0
2024-07-30 10:00:00,1016.7,73.0,10674.0,5655.0,10367.0
2024-07-30 11:00:00,1017.5,74.0,10657.0,5749.0,10473.0
2024-07-30 12:00:00,1018.3,75.0,10596.0,5668.0,10317.0
2024-07-30 13:00:00,1018.4,77.0,10424.0,5507.0,10231.0
2024-07-30 14:00:00,1018.2,81.0,10682.0,5711.0,10482.0
2024-07-30 15:00:00,1018.4,84.0,10902.0,5788.0,10489.0
2024-07-30 16:00:00,1017.8,87.0,10428.0,5464.0,10159.0
2024-07-30 17:00:00,1017.1,87.0,10662.0,5656.0,10545.0
2024-07-30 18:00:00,1016.7,84.0,10609.0,5647.0,10266.0
2024-07-30 19:00:00,1015.1,89.0,10621.0,5579.0,10383.0
2024-07-30 20:00:00,1014.9,91.0,10883.0,5745.0,10424.0
2024-07-30 21:00:00,1014.7,90.0,10588.0,5647.0,10346.0
2024-07-30 22:00:00,1015.3,90.0,10610.0,5632.0,10363.0
2024-07-30 23:00:00,1016.1,88.0,10692.0,5658.0,10419.0
2024-07-31 00:00:00,1018.3,74.0,10541.0,5580.0,10224.0
2024-07-31 01:00:00,1017.2,74.0,10534.0,5636.0,10193.0
2024-07-31 02:00:00,1016.8,73.0,10744.0,5644.0,10346.0
2024-07-31 03:00:00,1017.2,73.0,10635.0,5625.0,10382.0
2024-07-31 04:00:00,1017.1,73.0,10547.0,5594.0,10273.0
2024-07-31 05:00:00,1016.5,73.0,10544.0,5547.0,10139.0
2024-07-31 06:00:00,1016.9,73.0,10892.0,5710.0,10441.0
2024-07-31 07:00:00,1016.4,73.0,10539.0,5590.0,10279.0
2024-07-31 08:00:00,1016.7,73.0,10660.0,5705.0,10496.0
2024-07-31 09:00:00,1016.9,73.0,10665.0,5654.0,10456.0
2024-07-31 10:00:00,1016.6,73.0,10582.0,5676.0,10298.0
2024-07-31 11:00:00,1017.6,74.0,10589.0,5561.0,10339.0
2024-07-31 12:00:00,1018.2,76.0,10433.0,5487.0,10252.0
2024-07-31 13:00:00,1018.6,77.0,10590.0,5591.0,10404.0
2024-07-31 14:00:00,1018.7,80.0,10605.0,5516.0,10011.0
2024-07-31 15:00:00,1019.1,83.0,10523.0,5565.0,10395.0
2024-07-31 16:00:00,1018.6,88.0,10566.0,5524.0,10255.0
2024-07-31 17:00:00,1017.9,90.0,10725.0,5731.0,10460.0
2024-07-31 18:00:00,1017.4,91.0,10472.0,5575.0,10241.0
2024-07-31 19:00:00,1017.0,85.0,10693.0,5639.0,10305.0
2024-07-31 20:00:00,1017.0,82.0,10713.0,5616.0,10219.0
